Caption,Comments,Likes,URL
The Charlotte Gainsbourg Collection for Zara. COMING SOON #charlottexzara,230,23596,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/244311315_393933019105743_862415456700466554_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=RdI4vF6oXQkAX_LQ7k3&tn=fmk9mR368s7ov4cA&edm=AAuNW_gBAAAA&ccb=7-4&oh=7b09bb7e625f5ba6a22f15a910f9edc3&oe=615F7993&_nc_sid=498da5
The  Charlotte Gainsbourg Collection for Zara. COMING SOON #charlottexzara,192,48776,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/244385601_376964377486301_2606306789662144918_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=xQia6TPGkU4AX9PNW7c&edm=ALQROFkBAAAA&ccb=7-4&oh=04367f0e67bd9d7e0b4e2de593f8fb9a&oe=6164BA0C&_nc_sid=30a2ef&ig_cache_key=MjY3Nzc5MjkzMTE0MDk5ODgyMA%3D%3D.2-ccb7-4
The  Charlotte Gainsbourg Collection for Zara. COMING SOON #charlottexzara,124,17101,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/244376996_172190445068419_7238084149455034583_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=UGJi78mB9uAAX_0RcRh&edm=AAuNW_gBAAAA&ccb=7-4&oh=773f04ab72f2c2d0ea73074ba215cae3&oe=615F4DFB&_nc_sid=498da5
"ZARA ATHLETICZ. Active wear that goes faster and further. NOW AVAILABLE 
#zaraathleticz",456,38788,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/243303370_574463243869289_8666938666941068934_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=1VhqTvuwg1EAX_uwHRG&edm=ALQROFkBAAAA&ccb=7-4&oh=aa64ce623fdda89860bb907f772f4662&oe=6164D8F7&_nc_sid=30a2ef&ig_cache_key=MjY3NDMxNDY2ODc3MDg1NTUzNQ%3D%3D.2-ccb7-4
"ZARA ATHLETICZ. Adaptable, multifunctional designs with a spotlight on performance for all sports. NOW AVAILABLE #zaraathleticz",165,34749,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/243709008_319674349931463_8618387851020912183_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=n_sQpwLVq0MAX_SH3Vk&edm=AAuNW_gBAAAA&ccb=7-4&oh=e601627cb6fdd5ddecfca1a065402051&oe=615F29EA&_nc_sid=498da5
"ZARA ATHLETICZ is built on three fundamental ideas: simplicity, comfort and functionality. NOW AVAILABLE #zaraathleticz",137,56383,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/244053253_231429458860316_5105613294728893170_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=vGoZPCMeLSEAX8m9ypX&edm=ALQROFkBAAAA&ccb=7-4&oh=28c2368ce5b0610a75574c989bd22ed5&oe=616381A9&_nc_sid=30a2ef&ig_cache_key=MjY3NDE0NTE1ODEzMDU3OTg3Ng%3D%3D.2-ccb7-4
ZARA ATHLETICZ. Active-wear that makes you go faster and further. Designed for high performance. Available September 30 #zaraathleticz,234,16760,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/243242781_390428999368544_6085107351578099342_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=VPt-0gWKb38AX8765nf&edm=AAuNW_gBAAAA&ccb=7-4&oh=4fb05e90db4b7ab2f6d9412d8a80c916&oe=615F4C61&_nc_sid=498da5
ZARA ATHLETICZ. Active-wear that makes you go faster and further. Designed for high performance. Available September 30 #zaraathleticz,180,18022,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/243175978_1099582524117583_7985129388862946594_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=3ehUH-ceIXMAX_tdOty&edm=AAuNW_gBAAAA&ccb=7-4&oh=a35b36a781fea39171fe29e47d569ee2&oe=615F5E7C&_nc_sid=498da5
ZARA ATHLETICZ. Active-wear that makes you go faster and further. Designed for high performance. Available September 30 #zaraathleticz,165,17332,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/243366457_380330543798815_5901263598389879672_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=5lNOlDi_qZcAX-Vy31N&edm=AAuNW_gBAAAA&ccb=7-4&oh=0214ed37ff3a5782993a65afc70b2bb1&oe=615F9F1F&_nc_sid=498da5
The STUDIO issue 003 #zarawoman,224,39866,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/243077039_857986058186103_8730936328248731270_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=AkaimzmuqP4AX8h-fcD&edm=ALQROFkBAAAA&ccb=7-4&oh=fe3613c9823a1051225b4705d9d35fc3&oe=616451DB&_nc_sid=30a2ef&ig_cache_key=MjY3MjE1NTkzOTIyMDgxNjUyMA%3D%3D.2-ccb7-4
